Missing Docstring for function 'get_class', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'
Missing Docstring for function '_input_handle_excludes', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for function 'bytes2human', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for function 'filesystem_walker', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for function 'filesystem_walker_files', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for function 'filesystem_walker_folders', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for function 'debug_timing_log', in module 'general_decorator', with path 'antipetros_discordbot/utility/general_decorator.py'

Missing Docstring for function 'debug_timing_print', in module 'general_decorator', with path 'antipetros_discordbot/utility/general_decorator.py'

Missing Docstring for function '_filter_by_fileage', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'absolute_listdir', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'appendwriteit', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'bytes2human', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'cascade_rename', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'create_file', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'create_folder', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'from_dict_to_file', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'hash_to_solidcfg', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

Missing Docstring for function 'ishash_same', in module 'gidtools_functions', with path 'antipetros_discordbot/utility/gidtools_functions.py'

